answer,correct_answer,score,length
Adam kSandler,Adam Sandler,0.96,13
Adam Saqndleyr,Adam Sandler,0.92,14
Adam Sandyer,Adam Sandler,0.92,12
Aadm Sandler,Adam Sandler,0.92,12
Adam Sandvler,Adam Sandler,0.96,13
Adam Sandler,Adam Sandler,1.0,12
Adam Sadler,Adam Sandler,0.96,11
Adam Sandler,Adam Sandler,1.0,12
Adm Sagndler,Adam Sandler,0.92,12
Adam Sandler,Adam Sandler,1.0,12
Aiam Sandler,Adam Sandler,0.92,12
Adam Sandlec,Adam Sandler,0.92,12
Adam Sandelr,Adam Sandler,0.92,12
Adam Sandler,Adam Sandler,1.0,12
Adam Sandler,Adam Sandler,1.0,12
Adam Sanwler,Adam Sandler,0.92,12
Adrien Brcdy,Adrien Brody,0.92,12
AdriendBrody,Adrien Brody,0.92,12
Adriewn Brody,Adrien Brody,0.96,13
Adrien Brvody,Adrien Brody,0.96,13
Adrien Brody,Adrien Brody,1.0,12
Adrien Brody,Adrien Brody,1.0,12
Adrien Brsdy,Adrien Brody,0.92,12
Adrien Brdoy,Adrien Brody,0.92,12
Adrien Broedy,Adrien Brody,0.96,13
Adrrien Body,Adrien Brody,0.92,12
Adrien Bqody,Adrien Brody,0.92,12
Adriel Brody,Adrien Brody,0.92,12
Adrien Broy,Adrien Brody,0.96,11
Axrien Brody,Adrien Brody,0.92,12
Adrien Broddy,Adrien Brody,0.96,13
Avrien Brody,Adrien Brody,0.92,12
Adrien Biody,Adrien Brody,0.92,12
Adxrien Brody,Adrien Brody,0.96,13
AdrienBrody,Adrien Brody,0.96,11
drien Brody,Adrien Brody,0.96,11
Adrien Bruody,Adrien Brody,0.96,13
Adrien Bordy,Adrien Brody,0.92,12
Adrien yBrody,Adrien Brody,0.96,13
Arien Brody,Adrien Brody,0.96,11
Adrien Brofy,Adrien Brody,0.92,12
Adrien Bdody,Adrien Brody,0.92,12
Adrien Brody,Adrien Brody,1.0,12
AdrienB rody,Adrien Brody,0.92,12
Adrien roy,Adrien Brody,0.91,10
Adrien Brody,Adrien Brody,1.0,12
Adrien Brody,Adrien Brody,1.0,12
Adrien Brody,Adrien Brody,1.0,12
Adrien Brod,Adrien Brody,0.96,11
Adrien brody,Adrien Brody,0.92,12
Adien rody,Adrien Brody,0.91,10
Adrien Brody,Adrien Brody,1.0,12
Adrien Broyd,Adrien Brody,0.92,12
Adren Brody,Adrien Brody,0.96,11
Adrilen Brody,Adrien Brody,0.96,13
Adrien Brodqy,Adrien Brody,0.96,13
Agrien Brody,Adrien Brody,0.92,12
AdrienuBrody,Adrien Brody,0.92,12
Adrien Brody,Adrien Brody,1.0,12
Adjrien Brody,Adrien Brody,0.96,13
Adrien Brody,Adrien Brody,1.0,12
Adrien Brdy,Adrien Brody,0.96,11
Adrian Brody,Adrien Brody,0.92,12
Adroien Brody,Adrien Brody,0.96,13
Adrien Brodd,Adrien Brody,0.92,12
Adrien Brody,Adrien Brody,1.0,12
Adrrien Brody,Adrien Brody,0.96,13
Adriend Brody,Adrien Brody,0.96,13
Adrien Brody,Adrien Brody,1.0,12
Adrien Brody,Adrien Brody,1.0,12
Adien Broy,Adrien Brody,0.91,10
Adrien Brody,Adrien Brody,1.0,12
Ardien Brody,Adrien Brody,0.92,12
Adrien Brody,Adrien Brody,1.0,12
Adien Brody,Adrien Brody,0.96,11
Adrein Brody,Adrien Brody,0.92,12
Adrine Brody,Adrien Brody,0.92,12
Adrien Boody,Adrien Brody,0.92,12
Adrien Brcodwy,Adrien Brody,0.92,14
Adrien Brody,Adrien Brody,1.0,12
Adrien Bropy,Adrien Brody,0.92,12
gdrien Brody,Adrien Brody,0.92,12
Adrien Brd,Adrien Brody,0.91,10
Adrien Broiy,Adrien Brody,0.92,12
Adrien Brody,Adrien Brody,1.0,12
Adrien Brody,Adrien Brody,1.0,12
Adrien mrody,Adrien Brody,0.92,12
Adriens Brody,Adrien Brody,0.96,13
Addrien Bkrody,Adrien Brody,0.92,14
Adraien Brody,Adrien Brody,0.96,13
Adrien Brody,Adrien Brody,1.0,12
Adrin Brody,Adrien Brody,0.96,11
Arien Broy,Adrien Brody,0.91,10
Adrien Brody,Adrien Brody,1.0,12
jdrien Brody,Adrien Brody,0.92,12
Adrien Brody,Adrien Brody,1.0,12
Adrien Brody,Adrien Brody,1.0,12
Adrieng Brody,Adrien Brody,0.96,13
Adiren Brody,Adrien Brody,0.92,12
Adrien Brody,Adrien Brody,1.0,12
Adrien Brody,Adrien Brody,1.0,12
cAdrien Bromdy,Adrien Brody,0.92,14
Adien Body,Adrien Brody,0.91,10
Adarien Brody,Adrien Brody,0.96,13
Adien wBrody,Adrien Brody,0.92,12
Adrien Brody,Adrien Brody,1.0,12
Adrien sBrody,Adrien Brody,0.96,13
Adrien rody,Adrien Brody,0.96,11
Adrien Brory,Adrien Brody,0.92,12
Adrrien Bwrody,Adrien Brody,0.92,14
Adrien Body,Adrien Brody,0.96,11
Arien Brod,Adrien Brody,0.91,10
Adrien Brody,Adrien Brody,1.0,12
Adrien Brody,Adrien Brody,1.0,12
Adrien Brody,Adrien Brody,1.0,12
Adrien Brody,Adrien Brody,1.0,12
l Pacino,Al Pacino,0.94,8
Al Pacino,Al Pacino,1.0,9
Al Pacino,Al Pacino,1.0,9
Al Pacio,Al Pacino,0.94,8
Al acino,Al Pacino,0.94,8
zAl Pacino,Al Pacino,0.95,10
pAl Pacino,Al Pacino,0.95,10
Al Pacino,Al Pacino,1.0,9
Al Parcino,Al Pacino,0.95,10
Al Pacino,Al Pacino,1.0,9
Al Paino,Al Pacino,0.94,8
Al Peacino,Al Pacino,0.95,10
Al Pacino,Al Pacino,1.0,9
Al Pacin,Al Pacino,0.94,8
Al Pacicno,Al Pacino,0.95,10
Al Pacaino,Al Pacino,0.95,10
Al Pacinoew,Al Pacino,0.9,11
Al Pacino,Al Pacino,1.0,9
AlPacino,Al Pacino,0.94,8
Al jPacino,Al Pacino,0.95,10
All Pacino,Al Pacino,0.95,10
Al Pacino,Al Pacino,1.0,9
Al Pacikno,Al Pacino,0.95,10
A Pacino,Al Pacino,0.94,8
Al Pawcino,Al Pacino,0.95,10
Al Pachino,Al Pacino,0.95,10
Al Pacno,Al Pacino,0.94,8
Al Pbacino,Al Pacino,0.95,10
Al Pcino,Al Pacino,0.94,8
Al Pacino,Al Pacino,1.0,9
Al Pacino,Al Pacino,1.0,9
Al Pacino,Al Pacino,1.0,9
Al Pactino,Al Pacino,0.95,10
Al Pacino,Al Pacino,1.0,9
Al Paczino,Al Pacino,0.95,10
Al Pacino,Al Pacino,1.0,9
Al Pacino,Al Pacino,1.0,9
tAl Pacino,Al Pacino,0.95,10
Al Pacino,Al Pacino,1.0,9
Al Pacinfo,Al Pacino,0.95,10
Al Pacino,Al Pacino,1.0,9
Al Pacingo,Al Pacino,0.95,10
Al Pacigno,Al Pacino,0.95,10
Al pPacino,Al Pacino,0.95,10
Al dPacino,Al Pacino,0.95,10
Ayl Pacigno,Al Pacino,0.9,11
Al Paucino,Al Pacino,0.95,10
uAl Pacino,Al Pacino,0.95,10
Al Pajcino,Al Pacino,0.95,10
Al Pqacino,Al Pacino,0.95,10
Alg Pacino,Al Pacino,0.95,10
Al Paciqno,Al Pacino,0.95,10
Awl Pacino,Al Pacino,0.95,10
Al Pvacino,Al Pacino,0.95,10
Al Pacino,Al Pacino,1.0,9
Al iPapcino,Al Pacino,0.9,11
Al Pacinso,Al Pacino,0.95,10
Al Paxcino,Al Pacino,0.95,10
Al Pacinxo,Al Pacino,0.95,10
Al Pacino,Al Pacino,1.0,9
Al Pacino,Al Pacino,1.0,9
Al Puacino,Al Pacino,0.95,10
Al Pacino,Al Pacino,1.0,9
Alz Pacino,Al Pacino,0.95,10
Al Palcino,Al Pacino,0.95,10
Al iPacino,Al Pacino,0.95,10
Al Pacino,Al Pacino,1.0,9
Anl Pacino,Al Pacino,0.95,10
All Pacinno,Al Pacino,0.9,11
Aol Pacino,Al Pacino,0.95,10
Al Pwacino,Al Pacino,0.95,10
Alw Pacino,Al Pacino,0.95,10
Al Pascilno,Al Pacino,0.9,11
Al Pacinpo,Al Pacino,0.95,10
Al Psacino,Al Pacino,0.95,10
Aql Pwacino,Al Pacino,0.9,11
Al Pacinoe,Al Pacino,0.95,10
Alj Pacino,Al Pacino,0.95,10
Al Pacino,Al Pacino,1.0,9
Atl Pacino,Al Pacino,0.95,10
Al Pacibno,Al Pacino,0.95,10
lAl Pacino,Al Pacino,0.95,10
Al Paicino,Al Pacino,0.95,10
Alb Pacino,Al Pacino,0.95,10
Al Pacino,Al Pacino,1.0,9
Al Pacino,Al Pacino,1.0,9
Al Packino,Al Pacino,0.95,10
Al Paycino,Al Pacino,0.95,10
Al Pacino,Al Pacino,1.0,9
Al Pacino,Al Pacino,1.0,9
Al Pacino,Al Pacino,1.0,9
Al Pacino,Al Pacino,1.0,9
Al Pacinqo,Al Pacino,0.95,10
Al Pacino,Al Pacino,1.0,9
Al Paciano,Al Pacino,0.95,10
Arl Pacino,Al Pacino,0.95,10
Al Pacino,Al Pacino,1.0,9
Ald Pacino,Al Pacino,0.95,10
aAl Pacino,Al Pacino,0.95,10
Al Papcino,Al Pacino,0.95,10
Alan Alda,Alan Alda,1.0,9
Alan Ald,Alan Alda,0.94,8
Alan Alda,Alan Alda,1.0,9
Aan Alda,Alan Alda,0.94,8
Alan Alda,Alan Alda,1.0,9
Alan lda,Alan Alda,0.94,8
Alan Alda,Alan Alda,1.0,9
Alan Alda,Alan Alda,1.0,9
Alan Alda,Alan Alda,1.0,9
Ala Alda,Alan Alda,0.94,8
Alan Aleda,Alan Alda,0.95,10
Alan Ala,Alan Alda,0.94,8
Alan Allda,Alan Alda,0.95,10
Alawn hAlda,Alan Alda,0.9,11
Allan Alda,Alan Alda,0.95,10
Alan Albda,Alan Alda,0.95,10
Alan Ada,Alan Alda,0.94,8
Alan Alda,Alan Alda,1.0,9
Alagn Alda,Alan Alda,0.95,10
Alan Alda,Alan Alda,1.0,9
AlanAlda,Alan Alda,0.94,8
Alan Alda,Alan Alda,1.0,9
Alhan Alda,Alan Alda,0.95,10
Alanx Alda,Alan Alda,0.95,10
Alan Aldma,Alan Alda,0.95,10
lan Alda,Alan Alda,0.94,8
Alan Alda,Alan Alda,1.0,9
Alan Alday,Alan Alda,0.95,10
Alan Alda,Alan Alda,1.0,9
Alan Alda,Alan Alda,1.0,9
Alann Alda,Alan Alda,0.95,10
Alan Alda,Alan Alda,1.0,9
Awlan Adlda,Alan Alda,0.9,11
Aolan Alda,Alan Alda,0.95,10
Alan Alda,Alan Alda,1.0,9
wAlan Alda,Alan Alda,0.95,10
Aln Alda,Alan Alda,0.94,8
Alan Aldda,Alan Alda,0.95,10
Alan Alwda,Alan Alda,0.95,10
Alsan Alda,Alan Alda,0.95,10
Alan Alda,Alan Alda,1.0,9
Aelan Allda,Alan Alda,0.9,11
Alang Alda,Alan Alda,0.95,10
Altan Alda,Alan Alda,0.95,10
Alan Ajlda,Alan Alda,0.95,10
qAlan Alda,Alan Alda,0.95,10
Alanr Alda,Alan Alda,0.95,10
sAlan Alda,Alan Alda,0.95,10
Alaekn Alda,Alan Alda,0.9,11
Alavn Alda,Alan Alda,0.95,10
bAlan Allda,Alan Alda,0.9,11
Alan Aldea,Alan Alda,0.95,10
Alanl Aldaw,Alan Alda,0.9,11
Alan Alda,Alan Alda,1.0,9
Alanw Alda,Alan Alda,0.95,10
Alan Alda,Alan Alda,1.0,9
Amlan Alda,Alan Alda,0.95,10
eAlan Alda,Alan Alda,0.95,10
Alan oAlda,Alan Alda,0.95,10
Alan Alda,Alan Alda,1.0,9
Alan Alcda,Alan Alda,0.95,10
Alan Alda,Alan Alda,1.0,9
Alarn Alda,Alan Alda,0.95,10
Alanz Alda,Alan Alda,0.95,10
pAlan Alda,Alan Alda,0.95,10
Alan Ahlda,Alan Alda,0.95,10
Aalan Alda,Alan Alda,0.95,10
Aljan Alda,Alan Alda,0.95,10
Alan Alda,Alan Alda,1.0,9
Alan Aldoar,Alan Alda,0.9,11
Ablan Aldoa,Alan Alda,0.9,11
Alzan Alda,Alan Alda,0.95,10
Alan Aluda,Alan Alda,0.95,10
Alan Alda,Alan Alda,1.0,9
Aalan Allda,Alan Alda,0.9,11
Alan Aldta,Alan Alda,0.95,10
Alcan Alda,Alan Alda,0.95,10
Alan Alda,Alan Alda,1.0,9
Alan wAlda,Alan Alda,0.95,10
Alan Aldka,Alan Alda,0.95,10
Alan zAlda,Alan Alda,0.95,10
Aqlan Alda,Alan Alda,0.95,10
Alan Alda,Alan Alda,1.0,9
Alan Aplda,Alan Alda,0.95,10
Alan Aldha,Alan Alda,0.95,10
Alan Aklda,Alan Alda,0.95,10
Aladn Alda,Alan Alda,0.95,10
Alan Alda,Alan Alda,1.0,9
Alan Aljda,Alan Alda,0.95,10
Alan Alda,Alan Alda,1.0,9
Alann Aldta,Alan Alda,0.9,11
Alanq Alda,Alan Alda,0.95,10
Alan Alda,Alan Alda,1.0,9
rAlang Alda,Alan Alda,0.9,11
Alan rAlda,Alan Alda,0.95,10
Alan lAlda,Alan Alda,0.95,10
Allanl Alda,Alan Alda,0.9,11
Alan sAlda,Alan Alda,0.95,10
Alan Aldae,Alan Alda,0.95,10
rAlan Alda,Alan Alda,0.95,10
Aln Arkin,Alan Arkin,0.95,9
Alan Arkin,Alan Arkin,1.0,10
Alan Arikn,Alan Arkin,0.9,10
Alan Arkein,Alan Arkin,0.95,11
Alan Arekin,Alan Arkin,0.95,11
Alan Arkin,Alan Arkin,1.0,10
Alvn Arkin,Alan Arkin,0.9,10
Alan Akrin,Alan Arkin,0.9,10
Aln Arwkin,Alan Arkin,0.9,10
glan Arkin,Alan Arkin,0.9,10
Allan Arkin,Alan Arkin,0.95,11
AlanA rkin,Alan Arkin,0.9,10
Aan Arkin,Alan Arkin,0.95,9
Alan Arki,Alan Arkin,0.95,9
Alan Arkin,Alan Arkin,1.0,10
Alan Akrkin,Alan Arkin,0.95,11
Alan krkin,Alan Arkin,0.9,10
Ala Arkin,Alan Arkin,0.95,9
AlanAerkin,Alan Arkin,0.9,10
Alan Arkii,Alan Arkin,0.9,10
Alhn Arkin,Alan Arkin,0.9,10
Alna Arkin,Alan Arkin,0.9,10
Ala nArkin,Alan Arkin,0.9,10
Alan Arkin,Alan Arkin,1.0,10
Alan Arkin,Alan Arkin,1.0,10
Alapn rkin,Alan Arkin,0.9,10
Alan dArkin,Alan Arkin,0.95,11
Alan rkin,Alan Arkin,0.95,9
ilan Arkin,Alan Arkin,0.9,10
Alcan Arkin,Alan Arkin,0.95,11
Alann Arkin,Alan Arkin,0.95,11
Aaln Arkin,Alan Arkin,0.9,10
Alan Akin,Alan Arkin,0.95,9
Alan Arkiw,Alan Arkin,0.9,10
Alan Arkin,Alan Arkin,1.0,10
Alan Arkn,Alan Arkin,0.95,9
Ajan Arkin,Alan Arkin,0.9,10
Alan nArkin,Alan Arkin,0.95,11
Alhan Arkin,Alan Arkin,0.95,11
Aan Awrkin,Alan Arkin,0.9,10
Alan Arin,Alan Arkin,0.95,9
Alan Arkni,Alan Arkin,0.9,10
plan Arkin,Alan Arkin,0.9,10
Alan Arkin,Alan Arkin,1.0,10
lAan Arkin,Alan Arkin,0.9,10
AlanArkin,Alan Arkin,0.95,9
Alan Acrkn,Alan Arkin,0.9,10
Alanp Arkin,Alan Arkin,0.95,11
Alagn Arkin,Alan Arkin,0.95,11
Alan jArkin,Alan Arkin,0.95,11
Alan Asrkin,Alan Arkin,0.95,11
Alan Arrkin,Alan Arkin,0.95,11
Alan Arkin,Alan Arkin,1.0,10
AlanfArkin,Alan Arkin,0.9,10
Aslan Arkin,Alan Arkin,0.95,11
Alan rAkin,Alan Arkin,0.9,10
Alan Arkin,Alan Arkin,1.0,10
Alan Arkin,Alan Arkin,1.0,10
Alan Arkuin,Alan Arkin,0.95,11
Azlan Arkin,Alan Arkin,0.95,11
Alan Arein,Alan Arkin,0.9,10
Alan Arkxn,Alan Arkin,0.9,10
Alay Arkin,Alan Arkin,0.9,10
Alan Arkin,Alan Arkin,1.0,10
Aldan Arkin,Alan Arkin,0.95,11
Agan Arkin,Alan Arkin,0.9,10
Alan Arkik,Alan Arkin,0.9,10
Alan Arkin,Alan Arkin,1.0,10
Alan Arkrn,Alan Arkin,0.9,10
Alan rkiln,Alan Arkin,0.9,10
Alan Arhkin,Alan Arkin,0.95,11
Alan Arkyn,Alan Arkin,0.9,10
Alan Arnkin,Alan Arkin,0.95,11
Alan Apkin,Alan Arkin,0.9,10
Alan Arkien,Alan Arkin,0.95,11
Alap Arkin,Alan Arkin,0.9,10
Alan Arkin,Alan Arkin,1.0,10
AlanArrkin,Alan Arkin,0.9,10
Alapn Arkin,Alan Arkin,0.95,11
Alan Arkin,Alan Arkin,1.0,10
Alan Arkin,Alan Arkin,1.0,10
Alan Arkin,Alan Arkin,1.0,10
Alan Aprkin,Alan Arkin,0.95,11
AlanmArkin,Alan Arkin,0.9,10
Alan Arkin,Alan Arkin,1.0,10
Alan jrkin,Alan Arkin,0.9,10
wlan Arkin,Alan Arkin,0.9,10
Alan Arkin,Alan Arkin,1.0,10
Alan Azkin,Alan Arkin,0.9,10
AlanuArkin,Alan Arkin,0.9,10
Alan Arkxin,Alan Arkin,0.95,11
Alan Arkin,Alan Arkin,1.0,10
Alan Arkin,Alan Arkin,1.0,10
Alan Arhin,Alan Arkin,0.9,10
Alman Arkin,Alan Arkin,0.95,11
Alan Arkif,Alan Arkin,0.9,10
Alan Askin,Alan Arkin,0.9,10
Alan Arkit,Alan Arkin,0.9,10
Alan rkein,Alan Arkin,0.9,10
Alans Arkin,Alan Arkin,0.95,11
Alan Rickman,Alan Rickman,1.0,12
Alan Rickman,Alan Rickman,1.0,12
Alan Rickan,Alan Rickman,0.96,11
Aaln Rickman,Alan Rickman,0.92,12
Alan Rickman,Alan Rickman,1.0,12
AlancRickman,Alan Rickman,0.92,12
Alan Rickman,Alan Rickman,1.0,12
Ala Rickman,Alan Rickman,0.96,11
Alan Rickman,Alan Rickman,1.0,12
Alan Rirkman,Alan Rickman,0.92,12
Alan Ricmkan,Alan Rickman,0.92,12
Alan Rickmqn,Alan Rickman,0.92,12
Alan Rickman,Alan Rickman,1.0,12
Alan Rickman,Alan Rickman,1.0,12
lAan Rickman,Alan Rickman,0.92,12
Alan Rickman,Alan Rickman,1.0,12
elan Rickman,Alan Rickman,0.92,12
Alan Rickman,Alan Rickman,1.0,12
Alan Rickmna,Alan Rickman,0.92,12
Alna Rickman,Alan Rickman,0.92,12
Alan Rickqma,Alan Rickman,0.92,12
Alan Rickman,Alan Rickman,1.0,12
Alan Rickman,Alan Rickman,1.0,12
Alan Rickman,Alan Rickman,1.0,12
Alan Rikcman,Alan Rickman,0.92,12
Alan Rkckman,Alan Rickman,0.92,12
AlanR ickman,Alan Rickman,0.92,12
Alan Rickamn,Alan Rickman,0.92,12
Alan Rickmagn,Alan Rickman,0.96,13
Aan Rickman,Alan Rickman,0.96,11
Alan Rickman,Alan Rickman,1.0,12
Alan Rickmdn,Alan Rickman,0.92,12
Alan Rickma,Alan Rickman,0.96,11
Alan Rickman,Alan Rickman,1.0,12
Alan Rickman,Alan Rickman,1.0,12
Alan Rickman,Alan Rickman,1.0,12
Alan Rickmakn,Alan Rickman,0.96,13
Alang jRickman,Alan Rickman,0.92,14
AlanmRickman,Alan Rickman,0.92,12
Aoan Rickman,Alan Rickman,0.92,12
Alan Riqckman,Alan Rickman,0.96,13
Alan Rickmzan,Alan Rickman,0.96,13
Ala nRickman,Alan Rickman,0.92,12
Alann Rzickman,Alan Rickman,0.92,14
Alas Rickman,Alan Rickman,0.92,12
Alan Rickmaw,Alan Rickman,0.92,12
Alan Rickman,Alan Rickman,1.0,12
Alan Rickman,Alan Rickman,1.0,12
Alan Rcikman,Alan Rickman,0.92,12
Alan Ricjman,Alan Rickman,0.92,12
Alan Rikman,Alan Rickman,0.96,11
Algan Rickman,Alan Rickman,0.96,13
Alan Rickman,Alan Rickman,1.0,12
Alan iclkman,Alan Rickman,0.92,12
Alan Rickman,Alan Rickman,1.0,12
Alae Rickman,Alan Rickman,0.92,12
Alan Ruiczkman,Alan Rickman,0.92,14
Alan Rckman,Alan Rickman,0.96,11
Alan Rickvma,Alan Rickman,0.92,12
AlanRickman,Alan Rickman,0.96,11
Alan Rickman,Alan Rickman,1.0,12
Alan Rivkman,Alan Rickman,0.92,12
Alan Rickman,Alan Rickman,1.0,12
Alanq Rickman,Alan Rickman,0.96,13
Alan Rickman,Alan Rickman,1.0,12
Alan Riclkman,Alan Rickman,0.96,13
Alan Rickmaz,Alan Rickman,0.92,12
Alun Rickman,Alan Rickman,0.92,12
lan Rickman,Alan Rickman,0.96,11
Aa Rickman,Alan Rickman,0.91,10
Alan Rickkmean,Alan Rickman,0.92,14
Alan Riczman,Alan Rickman,0.92,12
Alln Rickman,Alan Rickman,0.92,12
Aan ickman,Alan Rickman,0.91,10
Alapn Rickpman,Alan Rickman,0.92,14
Allan Rickman,Alan Rickman,0.96,13
Alan Rickman,Alan Rickman,1.0,12
Alan Rickmman,Alan Rickman,0.96,13
Alan Ricman,Alan Rickman,0.96,11
AlanvRickman,Alan Rickman,0.92,12
Alan vickman,Alan Rickman,0.92,12
Aladn Rickmkan,Alan Rickman,0.92,14
Alang Rickman,Alan Rickman,0.96,13
Alan zRickman,Alan Rickman,0.96,13
Alan eickman,Alan Rickman,0.92,12
Alan Rickman,Alan Rickman,1.0,12
Alan Rckma,Alan Rickman,0.91,10
Alaq Rickman,Alan Rickman,0.92,12
Alan Rickman,Alan Rickman,1.0,12
Alan Rickmcan,Alan Rickman,0.96,13
Alan Rickdman,Alan Rickman,0.96,13
Alan iRckman,Alan Rickman,0.92,12
Aln Ricman,Alan Rickman,0.91,10
ulan Rickman,Alan Rickman,0.92,12
Alan Rickman,Alan Rickman,1.0,12
Alan Rickman,Alan Rickman,1.0,12
Alan Rickmaf,Alan Rickman,0.92,12
lan Rckman,Alan Rickman,0.91,10
Alan Ryckman,Alan Rickman,0.92,12
Alagn Rickman,Alan Rickman,0.96,13
Albert Brooks,Albert Brooks,1.0,13
Alebrt Brooks,Albert Brooks,0.92,13
eAlbeyrt Brooks,Albert Brooks,0.93,15
Albert Books,Albert Brooks,0.96,12
AlbertB rooks,Albert Brooks,0.92,13
Albert Brooks,Albert Brooks,1.0,13
Alert Broos,Albert Brooks,0.92,11
Albet Brooks,Albert Brooks,0.96,12
Albert Brooks,Albert Brooks,1.0,13
Albert Brooks,Albert Brooks,1.0,13
Albert Broocs,Albert Brooks,0.92,13
Alert Brooks,Albert Brooks,0.96,12
Alberrt Brooks,Albert Brooks,0.96,14
Albers Brooks,Albert Brooks,0.92,13
Albert Brooks,Albert Brooks,1.0,13
AlbertBroks,Albert Brooks,0.92,11
AllbertBrooks,Albert Brooks,0.92,13
Albetr Brooks,Albert Brooks,0.92,13
Albert Brrooks,Albert Brooks,0.96,14
Alberthk Brooks,Albert Brooks,0.93,15
Albert Broovks,Albert Brooks,0.96,14
Albert Brooks,Albert Brooks,1.0,13
Albqrt Brooks,Albert Brooks,0.92,13
Albert Brooks,Albert Brooks,1.0,13
Alert Books,Albert Brooks,0.92,11
Albret Brooks,Albert Brooks,0.92,13
Albert Brooks,Albert Brooks,1.0,13
Albert Brooks,Albert Brooks,1.0,13
Albert Brooks,Albert Brooks,1.0,13
Albbert Brooks,Albert Brooks,0.96,14
Allbert Brooks,Albert Brooks,0.96,14
Albert Broks,Albert Brooks,0.96,12
Albgert Brooks,Albert Brooks,0.96,14
Albert Broosk,Albert Brooks,0.92,13
Albert Brook,Albert Brooks,0.96,12
Albert Brooks,Albert Brooks,1.0,13
Albert Brooks,Albert Brooks,1.0,13
Abert Brooks,Albert Brooks,0.96,12
Albert Bruoks,Albert Brooks,0.92,13
Alber Brooks,Albert Brooks,0.96,12
lbert Brook,Albert Brooks,0.92,11
Alpert Brooks,Albert Brooks,0.92,13
